id,title,state,created,closed,url,"closed, not updated"
1323,b'How to use C API to do inference with models with multiple inputs and outputs\xef\xbc\x9f',closed,2019-07-01T09:18:30Z,2019-10-17T22:21:19Z,https://api.github.com/repos/microsoft/onnxruntime/issues/1323,True
1369,b'Broken links in Versioning ReadME',closed,2019-07-09T20:22:54Z,2019-07-10T16:37:56Z,https://api.github.com/repos/microsoft/onnxruntime/issues/1369,True
12734,b'Cuda EP behavior with pitched data',closed,2022-08-25T20:58:05Z,2022-08-25T21:22:16Z,https://api.github.com/repos/microsoft/onnxruntime/issues/12734,True
12875,b'[C#] Wrong link to c#: Go to API Documentation',closed,2022-09-07T10:07:18Z,2022-09-07T15:39:49Z,https://api.github.com/repos/microsoft/onnxruntime/issues/12875,True
12876,b'[C#] Lack a clear instruction on how to edit the MAIN tutorial page',closed,2022-09-07T10:33:48Z,2022-09-08T00:02:19Z,https://api.github.com/repos/microsoft/onnxruntime/issues/12876,True
12896,b'[Documentation] How to register custom operator in onnxruntime',closed,2022-09-08T13:48:41Z,2022-09-14T22:13:33Z,https://api.github.com/repos/microsoft/onnxruntime/issues/12896,True
12912,b'[Documentation] increase Mask RCNN  Tutorials',open,2022-09-09T10:13:42Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/12912,False
12923,b'[Documentation] Missing link to AddingCustomOp.md',closed,2022-09-12T02:29:41Z,2022-09-14T21:44:31Z,https://api.github.com/repos/microsoft/onnxruntime/issues/12923,True
12989,b'Test [Documentation] ',closed,2022-09-16T02:23:56Z,2022-09-16T02:25:52Z,https://api.github.com/repos/microsoft/onnxruntime/issues/12989,True
13120,b'EfficientNMS_TRT ',open,2022-09-27T10:31:24Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/13120,False
13133,b'[Documentation] How to get correct outputTensor shape in C++?',open,2022-09-28T03:19:48Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/13133,False
13218,b'Broken link on docs page',closed,2022-10-05T06:09:09Z,2022-10-11T01:18:50Z,https://api.github.com/repos/microsoft/onnxruntime/issues/13218,True
13315,b'[Documentation] Run C API annotations',closed,2022-10-13T22:25:07Z,2022-10-14T14:29:52Z,https://api.github.com/repos/microsoft/onnxruntime/issues/13315,True
13331,b'[Documentation]  Is onnx computational graph static or dynamic?',closed,2022-10-16T17:49:20Z,2022-10-17T16:16:23Z,https://api.github.com/repos/microsoft/onnxruntime/issues/13331,True
13387,b'[Documentation] Document add-initializer in the Python API docs',open,2022-10-20T17:26:46Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/13387,False
13517,b'[Documentation] Building static Library',closed,2022-10-31T12:53:34Z,2022-10-31T16:40:09Z,https://api.github.com/repos/microsoft/onnxruntime/issues/13517,True
13558,b'[Documentation]  When is grpah optimisation applied?',open,2022-11-04T10:15:07Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/13558,False
1454,"b""OrtRun doesn't return results unless 'output' is nullptr""",closed,2019-07-21T04:31:30Z,2020-02-27T18:28:55Z,https://api.github.com/repos/microsoft/onnxruntime/issues/1454,True
13781,b'[Documentation] Clarify Cuda Operator OpSet compatibility support ',open,2022-11-30T06:29:25Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/13781,False
13832,b'[Documentation] Float 16 inference guide ',closed,2022-12-03T09:44:26Z,2022-12-05T14:00:36Z,https://api.github.com/repos/microsoft/onnxruntime/issues/13832,True
13833,b'[Documentation] Convert torch model to onnx in half precision',closed,2022-12-03T09:48:22Z,2022-12-05T08:55:28Z,https://api.github.com/repos/microsoft/onnxruntime/issues/13833,True
13836,b'[Documentation] Does ort runtime for rocm support dynamic shape?',closed,2022-12-05T02:58:24Z,2022-12-13T19:03:11Z,https://api.github.com/repos/microsoft/onnxruntime/issues/13836,True
13896,b'[Documentation Request]',closed,2022-12-08T17:15:31Z,2022-12-08T21:54:17Z,https://api.github.com/repos/microsoft/onnxruntime/issues/13896,True
13898,b'[Documentation] ',open,2022-12-08T20:01:49Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/13898,False
13934,b'C++ inference with GPU (CUDA)',open,2022-12-11T19:25:20Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/13934,False
13974,b'Question about ORT threading',open,2022-12-14T16:36:17Z,,https://api.github.com/repos/microsoft/onnxruntime/issues/13974,False
1558,b'use onnxruntime by pypi',closed,2019-08-05T09:01:09Z,2019-08-28T21:46:52Z,https://api.github.com/repos/microsoft/onnxruntime/issues/1558,True
1843,b'C API sample not compilable',closed,2019-09-14T17:23:34Z,2020-07-25T07:40:16Z,https://api.github.com/repos/microsoft/onnxruntime/issues/1843,True
1993,b'Nuphar tutorial - Incorporate rnn_benchmark.py script to allow comparisons to other configurations ',closed,2019-10-03T19:05:28Z,2019-12-23T06:42:04Z,https://api.github.com/repos/microsoft/onnxruntime/issues/1993,True
2157,b'Recommendation to improve MNIST example',closed,2019-10-17T18:43:06Z,2020-10-04T03:56:33Z,https://api.github.com/repos/microsoft/onnxruntime/issues/2157,True
2724,b'Dead link in ONNX Runtime Samples and Tutorials',closed,2019-12-23T12:06:03Z,2019-12-26T01:38:17Z,https://api.github.com/repos/microsoft/onnxruntime/issues/2724,True
2764,b'Raspberry Pi Zero W',closed,2019-12-31T14:31:29Z,2020-06-24T05:43:53Z,https://api.github.com/repos/microsoft/onnxruntime/issues/2764,True
2900,b'Add section for distro installations',closed,2020-01-23T22:24:43Z,2020-02-23T20:51:14Z,https://api.github.com/repos/microsoft/onnxruntime/issues/2900,True
3036,b'OpenVINO Execution Provider samples C++ and python',closed,2020-02-18T22:11:17Z,2020-07-25T07:40:26Z,https://api.github.com/repos/microsoft/onnxruntime/issues/3036,True
3077,b'Can not open the website in ONNX Tutorial page',closed,2020-02-22T12:56:17Z,2020-02-26T18:48:47Z,https://api.github.com/repos/microsoft/onnxruntime/issues/3077,True
3124,b'Can you guys provide a clear CMakeLists.txt example on how to include onnxruntime for a C++ project?',closed,2020-03-02T22:32:02Z,2020-07-25T06:40:40Z,https://api.github.com/repos/microsoft/onnxruntime/issues/3124,True
3342,b'Request for C++ API documentation',closed,2020-03-27T03:23:45Z,2020-08-03T05:08:45Z,https://api.github.com/repos/microsoft/onnxruntime/issues/3342,True
3406,b'bad sample for cuda',closed,2020-04-02T11:02:53Z,2020-07-20T16:31:45Z,https://api.github.com/repos/microsoft/onnxruntime/issues/3406,True
3879,b'Simplify the C++ samples',closed,2020-05-08T20:38:52Z,2020-07-09T06:17:51Z,https://api.github.com/repos/microsoft/onnxruntime/issues/3879,True
